,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1036.0,43.77,-10.0,4.0,1036,44,-11,340,5,0.0,0
1,1036.0,30.04,-4.0,6.0,1036,25,-6,340,4,45.0,0
2,1034.0,26.19,-1.0,5.0,1036,20,-2,320,1,90.0,0
3,1034.0,30.36,-3.0,2.0,1034,35,-8,330,1,135.0,0
4,1035.0,37.74,-7.0,3.0,1036,38,-7,320,3,180.0,0
5,1037.0,48.01,-9.0,4.0,1037,45,-9,340,4,225.0,0
6,1037.0,44.72,-7.0,5.0,1038,46,-10,340,3,270.0,0
7,1037.0,41.1,-7.0,4.0,1037,46,-11,340,3,315.0,0
8,1037.0,41.1,-7.0,5.0,1038,43,-11,360,4,0.0,0
9,1037.0,33.03,-3.0,4.0,1037,24,-4,0,2,45.0,0
10,1034.0,30.67,-2.0,3.0,1035,19,-1,100,1,90.0,0
11,1034.0,30.67,-2.0,3.0,1034,25,-5,160,2,135.0,0
12,1033.0,45.35,-5.0,1.0,1034,27,-6,190,1,180.0,0
13,1033.0,48.93,-6.0,1.0,1034,31,-7,220,0,225.0,0
14,1033.0,52.83,-7.0,1.0,1034,32,-8,210,0,270.0,0
15,1032.0,57.08,-8.0,1.0,1033,34,-8,330,0,315.0,0
16,1032.0,61.71,-9.0,2.0,1033,35,-8,270,0,0.0,0
17,1032.0,49.53,-4.0,1.0,1032,24,-3,350,1,45.0,0
18,1032.0,49.53,-4.0,1.0,1030,20,-1,180,2,90.0,0
19,1029.0,39.02,-3.0,0.0,1029,32,-7,190,0,135.0,0
20,1029.0,61.97,-8.0,1.0,1030,42,-7,240,1,180.0,0
21,1029.0,61.71,-9.0,2.0,1030,48,-8,330,2,225.0,0
22,1028.0,66.53,-11.0,3.0,1030,50,-9,310,2,270.0,0
23,1028.0,66.53,-11.0,2.0,1028,47,-9,330,3,315.0,0
