,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1021.0,92.97,0.0,0.0,1002,96,-2,180,1,45.0,0
1,1021.0,92.97,0.0,0.0,1002,95,-2,200,1,90.0,0
2,1021.0,92.97,0.0,0.0,1001,85,0,170,1,135.0,0
3,1021.0,92.97,0.0,0.0,999,77,2,200,2,180.0,0
4,1017.0,70.27,6.0,2.06,997,91,0,170,2,225.0,0
5,1016.0,86.59,2.0,0.0,997,94,-2,180,1,270.0,0
6,1015.0,100.0,-2.0,0.0,996,93,-2,360,0,315.0,0
7,1014.0,92.8,-3.0,0.0,995,92,-2,20,0,0.0,0
8,1013.0,100.0,-4.0,0.0,995,93,-2,120,0,45.0,0
9,1012.0,92.68,-5.0,0.0,994,93,-2,90,0,90.0,0
10,1013.0,92.8,-3.0,0.0,995,83,0,100,1,135.0,0
11,1013.0,92.8,-3.0,0.0,995,71,2,120,2,180.0,0
12,1013.0,86.69,3.0,0.0,994,86,1,170,2,225.0,0
13,1014.0,86.69,3.0,0.0,996,92,-1,10,1,270.0,0
14,1016.0,93.02,1.0,2.06,997,85,-1,10,2,315.0,0
15,1016.0,93.02,1.0,2.06,999,75,-1,340,3,0.0,0
16,1017.0,92.85,-2.0,0.0,999,70,-1,360,2,45.0,0
17,1017.0,92.85,-2.0,0.0,999,74,-2,350,1,90.0,0
18,1017.0,92.85,-2.0,0.0,1000,61,1,20,2,135.0,0
19,1017.0,92.85,-2.0,0.0,1001,68,3,100,2,180.0,0
20,1017.0,92.85,-2.0,0.0,1001,96,1,90,1,225.0,0
21,1017.0,92.85,-2.0,0.0,1001,100,1,80,1,270.0,0
22,1021.0,80.35,1.0,0.0,1002,99,0,100,1,315.0,0
23,1021.0,80.35,1.0,0.0,1003,99,0,360,0,0.0,0
24,1021.0,80.35,1.0,0.0,1001,98,0,80,1,45.0,0
25,1020.0,86.27,-1.0,0.0,1001,98,-1,100,0,90.0,0
26,1020.0,74.43,0.0,0.0,1001,86,1,70,1,135.0,0
27,1020.0,64.44,2.0,0.0,1000,73,2,140,1,180.0,0
28,1020.0,64.44,2.0,0.0,999,87,0,80,1,225.0,0
29,1019.0,69.23,1.0,0.0,1000,96,-3,350,0,270.0,0
30,1019.0,74.43,0.0,0.0,1000,95,-2,80,1,315.0,0
31,1019.0,80.2,0.0,0.0,1000,94,-2,0,1,0.0,0
32,1019.0,86.27,-1.0,0.0,1000,88,-2,70,1,45.0,0
33,1018.0,86.27,-1.0,0.0,1000,94,-3,90,0,90.0,0
34,1019.0,86.27,-1.0,0.0,1000,77,0,80,1,135.0,0
35,1020.0,80.2,0.0,0.0,1000,65,1,130,1,180.0,0
36,1020.0,80.2,0.0,0.0,999,77,0,110,1,225.0,0
37,1019.0,86.16,-2.0,0.0,1001,84,-3,150,0,270.0,0
38,1020.0,80.2,0.0,0.0,1000,84,-3,50,0,315.0,0
39,1020.0,92.85,-2.0,0.0,1002,81,-2,300,1,0.0,10
40,1020.0,92.85,-2.0,0.0,1001,78,-2,340,1,45.0,10
41,1019.0,86.27,-1.0,2.06,1001,74,-2,290,2,90.0,10
42,1020.0,80.2,0.0,0.0,1001,60,-1,330,1,135.0,10
43,1021.0,74.61,1.0,0.0,1001,50,2,220,2,180.0,10
44,1021.0,74.61,1.0,0.0,1000,63,0,200,0,225.0,10
45,1021.0,74.61,1.0,0.0,1001,65,-1,240,2,270.0,10
46,1021.0,74.61,1.0,0.0,1001,68,-1,250,0,315.0,10
47,1021.0,92.97,0.0,0.0,1002,70,-1,260,1,0.0,10
48,1022.0,92.97,0.0,0.0,1002,70,-2,270,1,45.0,10
49,1022.0,92.97,0.0,0.0,1003,74,-2,260,1,90.0,10
50,1022.0,92.97,0.0,0.0,1004,71,0,360,0,135.0,10
51,1022.0,92.97,0.0,0.0,1004,77,2,250,1,180.0,10
52,1023.0,100.0,1.0,0.0,1003,87,0,140,0,225.0,10
53,1024.0,100.0,1.0,0.0,1004,86,1,250,1,270.0,10
54,1024.0,100.0,1.0,0.0,1003,92,1,40,1,315.0,10
55,1024.0,100.0,1.0,0.0,1004,92,1,250,1,0.0,10
