,metar_press,metar_rh,metar_temp,metar_wind_spd,gfs_press,gfs_rh,gfs_temp,gfs_wind_dir,gfs_wind_spd,time,date
0,1025.0,75.5,6.0,2.57,1016,92,3,280,3,45.0,0
1,1024.0,80.92,5.0,4.12,1016,96,3,290,3,90.0,0
2,1024.0,80.92,5.0,2.57,1015,97,4,300,3,135.0,0
3,1024.0,86.99,6.0,2.57,1016,93,6,340,3,180.0,0
4,1024.0,87.09,7.0,2.06,1016,97,5,0,3,225.0,0
5,1025.0,86.99,6.0,3.6,1017,100,4,50,3,270.0,0
6,1026.0,80.92,5.0,3.09,1018,98,2,20,3,315.0,0
7,1027.0,86.79,4.0,2.06,1018,98,0,20,3,0.0,0
8,1027.0,86.69,3.0,2.57,1019,97,-1,20,3,45.0,0
9,1027.0,86.59,2.0,2.06,1019,98,-1,360,3,90.0,0
10,1028.0,86.59,2.0,2.06,1020,95,-1,0,3,135.0,0
11,1029.0,80.64,3.0,2.57,1020,82,3,10,1,180.0,0
12,1028.0,69.86,4.0,2.06,1020,86,2,350,2,225.0,0
13,1029.0,74.97,3.0,1.54,1020,96,-1,340,1,270.0,0
14,1029.0,74.97,3.0,1.54,1020,94,-1,330,2,315.0,0
15,1028.0,74.79,2.0,2.57,1020,95,-2,340,1,0.0,0
16,1027.0,74.79,2.0,1.03,1018,94,-3,330,1,45.0,0
17,1027.0,80.35,1.0,2.06,1018,93,-3,330,1,90.0,0
18,1026.0,80.2,0.0,1.03,1017,92,-2,350,0,135.0,0
19,1026.0,80.2,0.0,1.03,1017,70,2,120,1,180.0,0
20,1024.0,74.79,2.0,2.06,1014,76,1,130,2,225.0,0
21,1022.0,74.79,2.0,2.06,1013,91,-1,140,2,270.0,0
22,1021.0,80.5,2.0,2.06,1012,96,-1,190,3,315.0,0
23,1019.0,86.48,1.0,1.54,1011,98,-1,170,3,0.0,0
24,1018.0,86.59,2.0,1.54,1009,99,1,180,3,45.0,0
25,1016.0,86.59,2.0,0.0,1007,100,0,230,0,90.0,0
